outlet,video_id,author,text,likes,published_at,reply_count,source,text_clean,score_positive,score_negative,score_neutral,score_compound,sentiment_label
BBC,nK7-DW4oG58,@AnnaKayode,I stand with you Natasha. Stay strong! May God liberate Nigeria from evil and evil men.  You will WIN✊🏾,210,2025-03-22T21:07:06Z,3,YouTube,I stand with you Natasha. Stay strong! May God liberate Nigeria from evil and evil men. You will WIN,0.31,0.266,0.424,0.1091,Positive
BBC,nK7-DW4oG58,@Quest4Sam,Not just the Senate! There is a lot going on in Nigeria,210,2025-03-22T07:58:30Z,9,YouTube,Not just the Senate! There is a lot going on in Nigeria,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@sothdestiny9496,"My advice for everyone is... 
When ever you are having a suspicious move about someone, from that moment onwards secretly make use of tape recorder or phone recorder that is connected to  cloud storage.",144,2025-03-23T10:56:56Z,11,YouTube,"My advice for everyone is... When ever you are having a suspicious move about someone, from that moment onwards secretly make use of tape recorder or phone recorder that is connected to cloud storage.",0.0,0.07,0.93,-0.3612,Negative
BBC,nK7-DW4oG58,@janetnyamusi4067,"Natasha, you are my kind of woman. No one will silence you, and may God protect you.",131,2025-03-23T17:55:31Z,0,YouTube,"Natasha, you are my kind of woman. No one will silence you, and may God protect you.",0.225,0.105,0.67,0.3612,Positive
BBC,nK7-DW4oG58,@augustinavictor4861,"She speaks the truth,that is exactly how Nigeria is run,the government stinks of corruption,thank you TASHA FOR SPEAKING UP,YOUR BOLDNESS IS WHAT EVERYONE NEEDS.",26,2025-04-01T01:29:15Z,1,YouTube,"She speaks the truth,that is exactly how Nigeria is run,the government stinks of corruption,thank you TASHA FOR SPEAKING UP,YOUR BOLDNESS IS WHAT EVERYONE NEEDS.",0.119,0.073,0.808,0.3034,Positive
BBC,nK7-DW4oG58,@muktaradamu7428,Justice for Senator Natasha,75,2025-03-22T20:54:27Z,3,YouTube,Justice for Senator Natasha,0.531,0.0,0.469,0.5267,Positive
BBC,nK7-DW4oG58,@octobersonoctoberson9792,There's a lot beneath the surface,118,2025-03-21T17:46:51Z,0,YouTube,There's a lot beneath the surface,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@Betehadeso,Every woman in workplaces working close to management should record all conversations where there is potential to manipulate or oppress her.,59,2025-03-22T16:44:36Z,5,YouTube,Every woman in workplaces working close to management should record all conversations where there is potential to manipulate or oppress her.,0.0,0.0,1.0,0.0,Neutral
BBC,nK7-DW4oG58,@reasonableman1400,"I am a Man. I believe your story 100%. If this comforts you, know that you have the majority of men and women on your side. Do not  worry so much about their strategy to shut you up. Maybe you are destined to expose the rot in the Nigeria parliament and empower other women to speak up. You will excel.",24,2025-03-27T12:23:02Z,1,YouTube,"I am a Man. I believe your story 100. If this comforts you, know that you have the majority of men and women on your side. Do not worry so much about their strategy to shut you up. Maybe you are destined to expose the rot in the Nigeria parliament and empower other women to speak up. You will excel.",0.136,0.024,0.84,0.8142,Positive
BBC,nK7-DW4oG58,@georgeedem1356,Stop crying Senator Natasha. Nigerians are behind you. Be strong and take courage.God is with you.,15,2025-03-24T16:40:11Z,0,YouTube,Stop crying Senator Natasha. Nigerians are behind you. Be strong and take courage.God is with you.,0.153,0.245,0.602,-0.25,Negative
